game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3
alien-invasion,37,,37,Add 10 then subtract 1: 28+10=38 then 38-1=37.,28,Medium,+,35,36,Add quickly,,9,39
alien-invasion,56,,56,7x8=56. Memory trick: 5 6 7 8 → 56=7x8!,7,Medium,×,48,54,7 times 8,,8,64
alien-invasion,27,,27,45-18: Subtract 20 (=25) then add 2 back (=27).,45,Medium,-,25,23,Subtract fast,,18,29
alien-invasion,81,,81,9x9=81. Square numbers: 1 4 9 16 25 36 49 64 81 100.,9,Hard,×,72,63,9 squared,,9,90
alien-invasion,9,,9,63÷7=9 because 7x9=63. Know your times tables!,63,Hard,÷,8,6,Quick division,,7,7
alien-invasion,72,,72,84-12=72. Subtract 10 first (74) then 2 more (72).,84,Hard,-,70,68,Subtract large numbers,,12,74
alien-invasion,121,,121,11x11=121. Pattern: 11²=121 12²=144 13²=169.,11,Hard,×,111,110,11 squared,,11,131
alien-invasion,12,,12,96÷8=12. Check: 12x8=96 ✓,96,Hard,÷,10,14,Division challenge,,8,11
bubble-pop,5,,5,2+3=5. Use your fingers: hold up 2 then 3 more!,2,Easy,+,4,7,Pop the sum,,3,6
bubble-pop,6,,6,8-2=6. Take away means make the number smaller.,8,Easy,-,5,4,Find the difference,,2,7
bubble-pop,8,,8,4+4=8. Doubles are easy: 1+1=2 2+2=4 3+3=6 4+4=8 5+5=10!,4,Easy,+,7,6,Double 4,,4,9
bubble-pop,4,,4,9-5=4. Count back 5 from 9: 8 7 6 5 4!,9,Easy,-,3,6,Take away,,5,5
bubble-pop,13,,13,7+6=13. Make 10 first: 7+3=10 then add 3 more = 13.,7,Easy,+,12,11,Add together,,6,14
bubble-pop,12,,12,3x4=12. Skip count by 3s four times: 3 6 9 12!,3,Medium,×,10,16,Multiply,,4,14
bubble-pop,25,,25,5x5=25. Skip count by 5s: 5 10 15 20 25!,5,Medium,×,20,15,5 squared,,5,30
bubble-pop,18,,18,6x3=18. Three groups of 6 or six groups of 3!,6,Medium,×,15,12,6 times 3,,3,21
bubble-pop,5,,5,20÷4=5. How many 4s fit in 20? Five of them!,20,Medium,÷,4,8,Divide evenly,,4,6
bubble-pop,56,,56,8x7=56. Remember: 5 6 7 8 reads as 56=7x8!,8,Medium,×,49,54,Multiply quickly,,7,63
bubble-pop,54,,54,9x6=54. Pattern: Digits of 9 times tables always add to 9!,9,Hard,×,48,45,9 times 6,,6,60
bubble-pop,6,,6,42÷7=6. Six sevens make 42!,42,Hard,÷,5,8,Division,,7,7
bubble-pop,8,,8,64÷8=8. 64 is 8 squared (8x8=64).,64,Hard,÷,7,6,8 squared backwards,,8,9
bubble-pop,132,,132,12x11=132. Use 12x10=120 plus 12x1=12. 120+12=132!,12,Hard,×,121,120,Big multiply,,11,143
bubble-pop,12,,12,144÷12=12. 144 is 12 squared!,144,Hard,÷,11,14,12 squared backwards,,12,13
planet-hopper,8,,8,This is counting by 2s (even numbers): 2 4 6 8 10!,2 4 6 ? 10,Easy,,6,12,Add 2 each time,,sequence,10
planet-hopper,20,,20,Skip counting by 5s like a clock: 5 10 15 20 25!,5 10 15 ? 25,Easy,,15,30,Add 5 each time,,sequence,25
planet-hopper,12,,12,Times 3 table as a pattern: 3 6 9 12 15!,3 6 9 ? 15,Easy,,10,18,Add 3 each time,,sequence,14
planet-hopper,40,,40,Counting by 10s is easy: 10 20 30 40 50!,10 20 30 ? 50,Easy,,35,50,Add 10 each time,,sequence,45
planet-hopper,4,,4,Simple counting! 1 2 3 4 5.,1 2 3 ? 5,Easy,,3,6,Count by 1,,sequence,5
planet-hopper,16,,16,4 times table: 4 8 12 16 20!,4 8 12 ? 20,Medium,,14,20,Add 4 each time,,sequence,18
planet-hopper,28,,28,7 times table: 7 14 21 28 35!,7 14 21 ? 35,Medium,,24,35,Add 7 each time,,sequence,30
planet-hopper,24,,24,Counting by 6s: 6 12 18 24 30!,6 12 18 ? 30,Medium,,20,30,Add 6 each time,,sequence,26
planet-hopper,36,,36,9 times table: 9 18 27 36 45!,9 18 27 ? 45,Medium,,32,45,Add 9 each time,,sequence,40
planet-hopper,32,,32,8 times table: 8 16 24 32 40!,8 16 24 ? 40,Medium,,28,40,Add 8 each time,,sequence,36
planet-hopper,44,,44,11 times table: 11 22 33 44 55!,11 22 33 ? 55,Hard,,40,55,Add 11 each time,,sequence,48
planet-hopper,48,,48,12 times table: 12 24 36 48 60!,12 24 36 ? 60,Hard,,44,60,Add 12 each time,,sequence,52
planet-hopper,60,,60,Counting by 15s: Like quarter hours on a clock!,15 30 45 ? 75,Hard,,55,75,Add 15 each time,,sequence,65
planet-hopper,100,,100,Counting by 25s: Like quarters (coins)!,25 50 75 ? 125,Hard,,90,125,Add 25 each time,,sequence,110
planet-hopper,54,,54,This is a geometric sequence - multiply by 3 each time!,2 6 18 ? 162,Hard,,36,108,Multiply by 3,,sequence,72
time-warp,3:00,,3:00,When minute hand points to 12 - read the hour hand!,3,Easy,read,6:00,12:00,Hour hand on 3,,0,9:00
time-warp,6:00,,6:00,6:00 - hour hand on 6 minute hand on 12.,6,Easy,read,3:00,12:00,Hour hand on 6,,0,9:00
time-warp,9:00,,9:00,9 oclock - the hour hand points to 9!,9,Easy,read,6:00,12:00,Hour hand on 9,,0,3:00
time-warp,12:00,,12:00,12:00 - both hands point straight up!,12,Easy,read,6:00,9:00,Both hands up,,0,3:00
time-warp,3:30,,3:30,Half past = 30 minutes. Minute hand on 6!,3,Easy,read,3:00,4:30,Half past 3,,30,4:00
time-warp,6:30,,6:30,At :30 the minute hand is on the 6 (bottom).,6,Medium,read,6:00,7:30,Half past 6,,30,7:00
time-warp,2:15,,2:15,Quarter past = 15 minutes. Minute hand on 3!,2,Medium,read,2:30,3:15,Quarter past 2,,15,2:45
time-warp,4:45,,4:45,4:45 is also called quarter to 5!,4,Medium,read,4:15,4:30,Quarter to 5,,45,5:00
time-warp,7:30,,7:30,The short hand shows hours the long hand shows minutes.,7,Medium,read,7:00,6:30,Half past 7,,30,8:00
time-warp,10:15,,10:15,15 minutes = quarter of an hour!,10,Medium,read,10:30,9:15,Quarter past 10,,15,10:45
time-warp,2 hours,,2 hours,Count from 2 to 4: thats 2 hours!,2:00 to 4:00,Hard,duration,3 hours,4 hours,Count the hours,,,1 hour
time-warp,30 minutes,,30 minutes,From :00 to :30 is always 30 minutes (half hour)!,3:00 to 3:30,Hard,duration,1 hour,45 minutes,Half hour passed,,,15 minutes
time-warp,1 hour 30 min,,1 hour 30 min,1:00 to 2:00 = 1 hour. Then 2:00 to 2:30 = 30 min. Total: 1.5 hours!,1:00 to 2:30,Hard,duration,2 hours,45 minutes,Hour and a half,,,1 hour
time-warp,3 hours,,3 hours,Count: 5→6 (1hr) 6→7 (2hr) 7→8 (3hr) = 3 hours!,5:00 to 8:00,Hard,duration,2 hours,5 hours,Count from 5 to 8,,,4 hours
time-warp,45 minutes,,45 minutes,From :00 to :45 is 45 minutes (3 quarters of an hour)!,9:00 to 9:45,Hard,duration,30 minutes,15 minutes,Almost an hour,,,1 hour
space-math,8,,8,Adding small numbers: 6+2 equals 8!,6,Easy,+,7,10,Add 6 and 2,,2,9
space-math,16,,16,11+5: Start at 11 and count 5 more!,11,Easy,+,15,14,Add to 11,,5,17
space-math,6,,6,Subtraction: Take 3 away from 9 leaves 6!,9,Easy,-,5,8,9 minus 3,,3,7
space-math,27,,27,Add: 18+10=28 then subtract 1 = 27!,18,Medium,+,25,26,Add 18 and 9,,9,29
space-math,30,,30,Multiply: 5×6 = 30. Count by 5s six times!,5,Medium,×,25,36,5 times 6,,6,35
space-math,63,,63,7×9=63. Trick: 7×10=70 then subtract 7!,7,Medium,×,54,56,7 times 9,,9,72
space-math,9,,9,Division: 81÷9=9 because 9×9=81!,81,Hard,÷,8,7,81 divided by 9,,9,10
space-math,143,,143,13×11: Think (10+3)×11 = 110+33 = 143!,13,Hard,×,121,132,13 times 11,,11,154
space-math,12,,12,Division check: 12×9=108 so 108÷9=12!,108,Hard,÷,11,10,108 divided by 9,,9,13
alien-invasion,7,,7,5+2=7. Use fingers to count quickly!,5,Easy,+,6,9,Quick add,,2,8
alien-invasion,5,,5,8-3=5. Count backwards: 7 6 5!,8,Easy,-,4,7,Fast take away,,3,6
alien-invasion,10,,10,6+4=10. Number bonds that make 10!,6,Easy,+,9,8,Make 10,,4,11
alien-invasion,49,,49,7×7=49. Seven groups of seven!,7,Medium,×,42,45,7 squared,,7,56
alien-invasion,36,,36,9×4=36. Four nines: 9+9+9+9!,9,Medium,×,32,35,9 times 4,,4,40
alien-invasion,54,,54,Add 20 then subtract 2: 36+20=56 -2=54!,36,Medium,+,52,50,Add with tens,,18,56
alien-invasion,12,,12,144÷12=12. Know your squares!,144,Hard,÷,11,14,12 squared backwards,,12,13
alien-invasion,96,,96,8×12=96. Double 8×6=48 then double again!,8,Hard,×,84,88,8 times 12,,12,108
alien-invasion,156,,156,13×12: 13×10=130 plus 13×2=26. Sum=156!,13,Hard,×,144,132,Big multiplication,,12,168
bubble-pop,8,,8,3+5=8. Make patterns: 3+5 4+4!,3,Easy,+,7,10,Add 3 and 5,,5,9
bubble-pop,7,,7,From 10 subtract 3 leaves 7!,10,Easy,-,6,9,10 minus 3,,3,8
bubble-pop,11,,11,5+6=11. Think 5+5=10 plus 1 more!,5,Easy,+,10,13,5 plus 6,,6,12
bubble-pop,35,,35,7×5=35. Count by 7s: 7 14 21 28 35!,7,Medium,×,30,32,7 times 5,,5,40
bubble-pop,27,,27,9×3=27. Three nines: 9+9+9=27!,9,Medium,×,24,21,9 times 3,,3,30
bubble-pop,4,,4,24÷6=4. How many 6s in 24? Four!,24,Medium,÷,3,6,Divide 24 by 6,,6,5
bubble-pop,84,,84,7×12=84. Seven dozen eggs!,7,Hard,×,72,78,7 times 12,,12,96
bubble-pop,99,,99,11×9=99. Pattern: 11×9 has 9s!,11,Hard,×,88,90,11 times 9,,9,110
bubble-pop,8,,8,72÷9=8. Nine eights make 72!,72,Hard,÷,7,6,72 divided by 9,,9,9
planet-hopper,7,,7,Odd numbers: 1 3 5 7 9!,1 3 5 ? 9,Easy,,5,11,Add 2 odd numbers,,sequence,9
planet-hopper,20,,20,Counting by 4s like quarters!,4 8 12 16 ?,Easy,,18,24,Add 4 each time,,sequence,22
planet-hopper,16,,16,Pattern: ×2 each step. 2 4 8 16 32!,2 4 8 ? 32,Easy,,12,24,Double each time,,sequence,20
planet-hopper,25,,25,Skip counting by 5s!,5 10 15 20 ?,Medium,,20,35,Add 5 each time,,sequence,30
planet-hopper,81,,81,Multiply by 3: 3 9 27 81!,3 9 27 ?,Medium,,54,90,Times 3 pattern,,sequence,72
planet-hopper,70,,70,Counting backwards by 10s!,100 90 80 ? 60,Medium,,65,50,Subtract 10,,sequence,75
planet-hopper,25,,25,Squares: 1² 2² 3² 4² 5² = 1 4 9 16 25!,1 4 9 16 ?,Hard,,20,36,Square numbers,,sequence,30
planet-hopper,80,,80,Counting by 20s!,20 40 60 ? 100,Hard,,70,85,Add 20 each time,,sequence,90
planet-hopper,8,,8,Add last two: 1+1=2 1+2=3 2+3=5 3+5=8!,1 1 2 3 5 ?,Hard,,6,7,Fibonacci sequence,,sequence,10
time-warp,1:00,,1:00,1 o'clock - hour hand points to 1!,1,Easy,read,2:00,11:00,Hour hand on 1,,0,12:00
time-warp,2:00,,2:00,2:00 - both hands make an L shape!,2,Easy,read,1:00,4:00,Hour hand on 2,,0,3:00
time-warp,5:00,,5:00,5 o'clock - minute hand up hour hand on 5!,5,Easy,read,4:00,7:00,Hour hand on 5,,0,6:00
time-warp,8:30,,8:30,8:30 - halfway between 8 and 9!,8,Medium,read,8:00,7:30,Half past 8,,30,9:00
time-warp,5:15,,5:15,15 minutes after 5 o'clock!,5,Medium,read,5:30,4:15,Quarter past 5,,15,5:45
time-warp,11:45,,11:45,11:45 is 15 minutes before noon!,11,Medium,read,11:15,10:45,Quarter to 12,,45,12:00
time-warp,3 hours,,3 hours,From 4 to 7 is 3 hours: 4→5→6→7!,4:00 to 7:00,Hard,duration,4 hours,5 hours,Count hours,,,2 hours
time-warp,15 minutes,,15 minutes,15 minutes = quarter of an hour!,6:00 to 6:15,Hard,duration,30 minutes,1 hour,Quarter hour,,,45 minutes
time-warp,2 hours 30 min,,2 hours 30 min,2:30 to 5:00 = 2.5 hours!,2:30 to 5:00,Hard,duration,2 hours,2 hours 15 min,Two and a half hours,,,3 hours
fraction-frenzy,3/10,,7/8,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,7,Easy,identify,2/3,7/8,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:7:8,8,2/10
fraction-frenzy,3/6,,2/3,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,2,Easy,identify,1/6,2/3,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:2:3,3,1/2
fraction-frenzy,1/4,,1/3,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,2/3,1/3,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:3,3,5/8
fraction-frenzy,2/8,,1/2,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,2/6,1/2,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:2,2,1/5
fraction-frenzy,1/3,,1/3,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,1/2,5/6,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:3,3,1/5
fraction-frenzy,9/10,,1/5,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,1/2,1/5,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:5,5,4/5
fraction-frenzy,4/8,,4/6,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,4,Easy,identify,4/6,1/2,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:4:6,6,5/10
fraction-frenzy,1/3,,4/6,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,4,Easy,identify,4/6,4/8,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:4:6,6,2/3
fraction-frenzy,3/5,,1/2,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,1/10,1/2,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:2,2,5/8
fraction-frenzy,1/10,,3/4,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,3,Easy,identify,3/4,1/4,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:3:4,4,2/4
fraction-frenzy,1/2,,1/2,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,1/8,3/4,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:2,2,1/4
fraction-frenzy,1/2,,7/10,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,7,Easy,identify,3/5,1/4,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:7:10,10,7/10
fraction-frenzy,2/4,,4/5,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,4,Easy,identify,1/2,3/4,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:4:5,5,4/5
fraction-frenzy,1/2,,5/6,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,5,Easy,identify,5/6,2/3,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:5:6,6,1/3
fraction-frenzy,2/5,,5/10,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,5,Easy,identify,7/8,9/10,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:5:10,10,5/10
fraction-frenzy,>,,<,Compare shaded areas.,4/8,Medium,compare,<,?,Right is bigger,dynamic:compare:4:8:5:6,5/6,=
fraction-frenzy,>,,>,Compare shaded areas.,5/8,Medium,compare,<,?,Left is bigger,dynamic:compare:5:8:1:6,1/6,=
fraction-frenzy,>,,<,Compare shaded areas.,2/6,Medium,compare,<,?,Right is bigger,dynamic:compare:2:6:4:6,4/6,=
fraction-frenzy,>,,<,Compare shaded areas.,5/8,Medium,compare,<,?,Right is bigger,dynamic:compare:5:8:4:6,4/6,=
fraction-frenzy,>,,>,Compare shaded areas.,3/6,Medium,compare,<,?,Left is bigger,dynamic:compare:3:6:1:3,1/3,=
fraction-frenzy,>,,>,Compare shaded areas.,5/6,Medium,compare,<,?,Left is bigger,dynamic:compare:5:6:4:8,4/8,=
fraction-frenzy,>,,<,Compare shaded areas.,1/6,Medium,compare,<,?,Right is bigger,dynamic:compare:1:6:2:4,2/4,=
fraction-frenzy,>,,>,Compare shaded areas.,5/8,Medium,compare,<,?,Left is bigger,dynamic:compare:5:8:1:2,1/2,=
fraction-frenzy,>,,>,Compare shaded areas.,5/8,Medium,compare,<,?,Left is bigger,dynamic:compare:5:8:1:8,1/8,=
fraction-frenzy,>,,<,Compare shaded areas.,4/6,Medium,compare,<,?,Right is bigger,dynamic:compare:4:6:6:8,6/8,=
fraction-frenzy,>,,=,Compare shaded areas.,4/8,Medium,compare,<,?,Equal!,dynamic:compare:4:8:3:6,3/6,=
fraction-frenzy,>,,>,Compare shaded areas.,2/3,Medium,compare,<,?,Left is bigger,dynamic:compare:2:3:1:3,1/3,=
fraction-frenzy,>,,<,Compare shaded areas.,1/8,Medium,compare,<,?,Right is bigger,dynamic:compare:1:8:1:2,1/2,=
fraction-frenzy,>,,>,Compare shaded areas.,1/2,Medium,compare,<,?,Left is bigger,dynamic:compare:1:2:1:3,1/3,=
fraction-frenzy,>,,<,Compare shaded areas.,2/6,Medium,compare,<,?,Right is bigger,dynamic:compare:2:6:1:2,1/2,=
fraction-frenzy,2,,2,1/2 is the same as 2/4.,1/2,Hard,fill-blank,3,4,Equivalent fractions.,dynamic:fraction:1:2,?/4,1
fraction-frenzy,3,,3,1/2 is the same as 3/6.,1/2,Hard,fill-blank,4,6,Equivalent fractions.,dynamic:fraction:1:2,?/6,2
fraction-frenzy,4,,4,1/2 is the same as 4/8.,1/2,Hard,fill-blank,5,8,Equivalent fractions.,dynamic:fraction:1:2,?/8,3
fraction-frenzy,5,,5,1/2 is the same as 5/10.,1/2,Hard,fill-blank,6,10,Equivalent fractions.,dynamic:fraction:1:2,?/10,4
fraction-frenzy,2,,2,1/3 is the same as 2/6.,1/3,Hard,fill-blank,3,6,Equivalent fractions.,dynamic:fraction:1:3,?/6,1
fraction-frenzy,3,,3,1/3 is the same as 3/9.,1/3,Hard,fill-blank,4,9,Equivalent fractions.,dynamic:fraction:1:3,?/9,2
fraction-frenzy,4,,4,2/3 is the same as 4/6.,2/3,Hard,fill-blank,5,6,Equivalent fractions.,dynamic:fraction:2:3,?/6,3
fraction-frenzy,6,,6,2/3 is the same as 6/9.,2/3,Hard,fill-blank,7,9,Equivalent fractions.,dynamic:fraction:2:3,?/9,5
fraction-frenzy,2,,2,1/4 is the same as 2/8.,1/4,Hard,fill-blank,3,8,Equivalent fractions.,dynamic:fraction:1:4,?/8,1
fraction-frenzy,6,,6,3/4 is the same as 6/8.,3/4,Hard,fill-blank,7,8,Equivalent fractions.,dynamic:fraction:3:4,?/8,5
fraction-frenzy,2,,2,1/5 is the same as 2/10.,1/5,Hard,fill-blank,3,10,Equivalent fractions.,dynamic:fraction:1:5,?/10,1
fraction-frenzy,4,,4,2/5 is the same as 4/10.,2/5,Hard,fill-blank,5,10,Equivalent fractions.,dynamic:fraction:2:5,?/10,3
fraction-frenzy,3/3,,2/3,Sum of parts.,1/3,Medium,add,2/3,1/3,Add top numbers.,dynamic:add:1:3:1:3,1/3,2/3
fraction-frenzy,3/3,,3/3,Sum of parts.,1/3,Medium,add,1/3,1/3,Add top numbers.,dynamic:add:1:3:2:3,2/3,2/3
fraction-frenzy,1/3,,2/3,Sum of parts.,1/3,Medium,add,2/3,1/3,Add top numbers.,dynamic:add:1:3:1:3,1/3,3/3
fraction-frenzy,3/3,,2/3,Sum of parts.,1/3,Medium,add,3/3,2/3,Add top numbers.,dynamic:add:1:3:1:3,1/3,1/3
fraction-frenzy,3/5,,5/5,Sum of parts.,2/5,Medium,add,2/5,1/5,Add top numbers.,dynamic:add:2:5:3:5,3/5,5/5
fraction-frenzy,9/10,,7/10,Sum of parts.,3/10,Medium,add,5/10,7/10,Add top numbers.,dynamic:add:3:10:4:10,4/10,10/10
fraction-frenzy,6/6,,6/6,Sum of parts.,2/6,Medium,add,5/6,2/6,Add top numbers.,dynamic:add:2:6:4:6,4/6,1/6
fraction-frenzy,5/10,,8/10,Sum of parts.,5/10,Medium,add,9/10,3/10,Add top numbers.,dynamic:add:5:10:3:10,3/10,8/10
fraction-frenzy,1/4,,4/4,Sum of parts.,1/4,Medium,add,4/4,3/4,Add top numbers.,dynamic:add:1:4:3:4,3/4,2/4
fraction-frenzy,2/4,,3/4,Sum of parts.,1/4,Medium,add,3/4,1/4,Add top numbers.,dynamic:add:1:4:2:4,2/4,4/4
geometry-galaxy,Hexagon,circle,Circle,circle shape.,,Easy,identify,Circle,Square,Count sides/corners.,dynamic:shape:circle,,Cross
geometry-galaxy,Arrow,triangle,Triangle,triangle shape.,,Easy,identify,Rhombus,Triangle,Count sides/corners.,dynamic:shape:triangle,,Circle
geometry-galaxy,Square,square,Square,square shape.,,Easy,identify,Oval,Rectangle,Count sides/corners.,dynamic:shape:square,,Hexagon
geometry-galaxy,Hexagon,rectangle,Rectangle,rectangle shape.,,Easy,identify,Circle,Rectangle,Count sides/corners.,dynamic:shape:rectangle,,Triangle
geometry-galaxy,Triangle,pentagon,Pentagon,pentagon shape.,,Easy,identify,Star,Pentagon,Count sides/corners.,dynamic:shape:pentagon,,Heart
geometry-galaxy,Hexagon,hexagon,Hexagon,hexagon shape.,,Easy,identify,Square,Triangle,Count sides/corners.,dynamic:shape:hexagon,,Trapezoid
geometry-galaxy,Octagon,octagon,Octagon,octagon shape.,,Easy,identify,Triangle,Circle,Count sides/corners.,dynamic:shape:octagon,,Pentagon
geometry-galaxy,Pentagon,star,Star,star shape.,,Easy,identify,Star,Rhombus,Count sides/corners.,dynamic:shape:star,,Square
geometry-galaxy,Octagon,rhombus,Rhombus,rhombus shape.,,Easy,identify,Rhombus,Star,Count sides/corners.,dynamic:shape:rhombus,,Triangle
geometry-galaxy,Arrow,trapezoid,Trapezoid,trapezoid shape.,,Easy,identify,Triangle,Trapezoid,Count sides/corners.,dynamic:shape:trapezoid,,Heart
geometry-galaxy,Arrow,oval,Oval,oval shape.,,Easy,identify,Oval,Heart,Count sides/corners.,dynamic:shape:oval,,Square
geometry-galaxy,Hexagon,heart,Heart,heart shape.,,Easy,identify,Heart,Rhombus,Count sides/corners.,dynamic:shape:heart,,Arrow
geometry-galaxy,Pentagon,arrow,Arrow,arrow shape.,,Easy,identify,Arrow,Rhombus,Count sides/corners.,dynamic:shape:arrow,,Hexagon
geometry-galaxy,Cross,cross,Cross,cross shape.,,Easy,identify,Triangle,Arrow,Count sides/corners.,dynamic:shape:cross,,Pentagon
geometry-galaxy,Semicircle,semicircle,Semicircle,semicircle shape.,,Easy,identify,Arrow,Oval,Count sides/corners.,dynamic:shape:semicircle,,Star
geometry-galaxy,Sphere,cube,Cube,cube is 3D.,,Medium,identify,Cone,Cylinder,3D Object.,dynamic:shape:cube,,Cube
geometry-galaxy,Cylinder,sphere,Sphere,sphere is 3D.,,Medium,identify,Sphere,Pyramid,3D Object.,dynamic:shape:sphere,,Cone
geometry-galaxy,4,triangle,3,3 sides.,,Medium,sides,3,9,Count lines.,dynamic:shape:triangle,,6
geometry-galaxy,7,triangle,3,3 sides.,,Medium,sides,4,3,Count lines.,dynamic:shape:triangle,,5
geometry-galaxy,7,square,4,4 sides.,,Medium,sides,4,3,Count lines.,dynamic:shape:square,,8
geometry-galaxy,3,square,4,4 sides.,,Medium,sides,4,6,Count lines.,dynamic:shape:square,,5
geometry-galaxy,7,rectangle,4,4 sides.,,Medium,sides,4,9,Count lines.,dynamic:shape:rectangle,,3
geometry-galaxy,9,rectangle,4,4 sides.,,Medium,sides,4,5,Count lines.,dynamic:shape:rectangle,,8
geometry-galaxy,6,pentagon,5,5 sides.,,Medium,sides,5,3,Count lines.,dynamic:shape:pentagon,,4
geometry-galaxy,4,pentagon,5,5 sides.,,Medium,sides,10,6,Count lines.,dynamic:shape:pentagon,,5
geometry-galaxy,8,hexagon,6,6 sides.,,Medium,sides,4,6,Count lines.,dynamic:shape:hexagon,,9
geometry-galaxy,3,hexagon,6,6 sides.,,Medium,sides,5,9,Count lines.,dynamic:shape:hexagon,,6
geometry-galaxy,7,octagon,8,8 sides.,,Medium,sides,8,10,Count lines.,dynamic:shape:octagon,,9
geometry-galaxy,8,octagon,8,8 sides.,,Medium,sides,9,10,Count lines.,dynamic:shape:octagon,,4
money-master,21¢,,21¢,Total is 21¢.,Count Coins,Easy,count,16¢,31¢,Sum the values.,dynamic:coins:dime:2:penny:1,,20¢
